x,y
23.89174364,37.19375639
35.84060077,37.19375639
35.84060077,24.78443418
23.89373384,24.78443418
23.89338681,24.78505311
23.89280945,24.78621552
23.89184492,24.78901283
23.89174364,24.7958376
